auto_model,type
E400,sedan
RSX,sedan
Camry,sedan
Highlander,suv
Neon,sedan
Impreza,sedan
Forrestor,suv
3 Series,sedan
Legacy,sedan
Civic,sedan
Passat,sedan
M5,sedan
Corolla,sedan
F150,pickup
CRV,suv
Silverado,pickup
X6,suv
Malibu,sedan
95,suv
TL,sedan
Maxima,sedan
Jetta,sedan
MDX,suv
X5,suv
A3,sedan
Fusion,sedan
Escape,suv
A5,sedan
92x,suv
Accord,sedan
Wrangler,suv
Tahoe,suv
Grand Cherokee,suv
93,suv
RAM,pickup
Ultima,sedan
Pathfinder,suv
ML350,suv
C300,sedan
